true_modulation,pred_modulation,modulation_confidence,true_snr_db,pred_snr_db,true_cfo_hz,pred_cfo_hz,true_symbol_rate_hz,pred_symbol_rate_hz
BPSK,BPSK,0.8675660490989685,-10.0,-10.0,-1926.391117947383,636.7385716851087,50000.0,50000.0
BPSK,BPSK,0.29229679703712463,-10.0,-9.833333333333334,-196.38959313908936,-59.4381893331535,50000.0,50000.0
BPSK,BPSK,0.6405119299888611,-10.0,-9.95,-776.9968373517117,24.59234458753815,50000.0,76923.07692307692
BPSK,BPSK,0.895415723323822,-10.0,-9.966666666666667,1743.1094751195906,-109.42718247491518,50000.0,100000.0
BPSK,8PSK,0.2597838044166565,-10.0,-9.866666666666667,2430.863020063043,344.8286019214128,50000.0,50000.0
BPSK,BPSK,0.6541478633880615,-10.0,-10.0,916.7088161107918,85.84677221388094,76923.07692307692,76923.07692307692
BPSK,BPSK,0.256835013628006,-10.0,-9.966666666666667,-1210.1833958665843,-560.1406546192034,76923.07692307692,100000.0
BPSK,8PSK,0.2240961194038391,-10.0,-9.866666666666667,2519.100963223669,23.911334714674123,76923.07692307692,76923.07692307692
BPSK,BPSK,0.551266610622406,-10.0,-9.883333333333333,815.224824867908,-51.45147327936291,76923.07692307692,50000.0
BPSK,BPSK,0.7388973236083984,-10.0,-9.216666666666667,90.92217793411055,271.6171403520666,76923.07692307692,76923.07692307692
BPSK,BPSK,0.8160489797592163,-10.0,-9.95,1955.3715502534196,392.1482887198823,100000.0,76923.07692307692
BPSK,BPSK,0.9442675113677979,-10.0,-9.916666666666666,-967.1252801174289,12.84183693815024,100000.0,142857.14285714287
BPSK,BPSK,0.6522483825683594,-10.0,-9.85,-1332.6047069990457,245.9843918921615,100000.0,76923.07692307692
BPSK,BPSK,0.5041456818580627,-10.0,-9.733333333333333,154.90106007149006,91.36853505817277,100000.0,100000.0
BPSK,QPSK,0.43474531173706055,-10.0,-9.966666666666667,-414.52763589341157,118.43872998563931,100000.0,76923.07692307692
BPSK,64QAM,0.424358993768692,-10.0,-9.916666666666666,-2922.9571057991607,-72.27422332788824,125000.0,100000.0
BPSK,BPSK,0.6049111485481262,-10.0,-9.55,-313.78859076767503,-368.0216022343138,125000.0,142857.14285714287
BPSK,BPSK,0.6779153347015381,-10.0,-9.916666666666666,-1827.6144007706757,-165.56001619161322,125000.0,142857.14285714287
BPSK,8PSK,0.32971733808517456,-10.0,-9.216666666666667,569.1952260363169,-389.1007670925747,125000.0,125000.0
